user_id,Amount,Class
1038,13.69,0
1028,7.83,0
1014,33.61,0
1042,212.2,0
1007,13.86,0
1020,55.76,0
1038,71.69,0
1018,13.57,0
1022,65.14,0
1010,22.93,0
1010,50.03,1
1023,50.19,0
1035,38.37,0
1039,4.73,0
1023,90.18,0
1002,19.34,0
1021,10.32,0
1001,2.08,0
1023,44.69,0
1043,56.59,0
1029,0.84,0
1037,35.88,0
1001,12.84,0
1020,51.81,0
1032,9.58,0
1011,58.71,0
1021,24.45,0
1043,138.02,0
1024,7.4,0
1048,20.86,0
1026,6.02,0
1041,129.31,0
1027,104.92,0
1015,14.92,0
1014,53.94,0
1046,84.97,0
1043,40.51,0
1002,37.71,0
1036,13.84,0
1006,4.89,0
1020,113.76,0
1008,115.34,0
1038,50.13,0
1017,20.7,0
1003,21.48,0
1024,64.72,0
1013,113.7,0
1049,109.06,0
1008,75.68,0
1025,51.37,0
1001,4.39,0
1019,8.81,0
1027,114.41,0
1046,46.62,0
1006,0.46,1
1043,5.35,0
1007,54.46,0
1046,0.25,0
1034,8.77,0
1013,39.78,0
1016,58.87,0
1035,52.77,0
1049,12.7,1
1039,62.27,0
1003,13.54,0
1001,19.68,0
1005,68.62,0
1041,52.44,0
1003,94.6,0
1028,53.59,0
1017,42.0,0
1025,4.92,0
1043,22.92,0
1033,15.41,1
1009,13.99,0
1035,180.62,0
1013,24.97,0
1030,111.3,0
1047,49.87,0
1014,79.19,0
1007,34.92,0
1013,43.01,0
1022,33.91,0
1039,10.86,0
1020,64.09,0
1015,16.48,0
1044,1.23,0
1017,51.85,0
1046,9.75,0
1023,141.05,0
1025,153.88,0
1024,123.18,0
1044,23.11,0
1040,0.78,0
1028,131.78,0
1014,27.95,0
1044,170.04,0
1000,165.69,0
1024,95.87,0
1006,17.44,0
